Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE,16,20,36,0.444,0.5,6.94,0.835,0.126,9.42,4.89,303.84,330.9,2253.55,2978.42,305.07,339.57,2236.73,3059.26,1.23,75.67,-16.83,818.96,,,,,,,,
ERROR,18,18,36,0.5,0.389,13.28,0.789,0.169,9.42,8.03,303.84,330.9,2253.55,2978.42,279.08,327.63,2045.75,2889.98,-1.19,65.27,14.08,378.16,,,,,,,,
TEST,22,14,36,0.611,0.227,16.36,0.78,0.166,9.42,4.06,303.84,330.9,2253.55,2978.42,311.9,346.21,2333.5,3144.75,13.8,27.91,102.47,299.66,,,,,,,,
DOCSTRING,10,26,36,0.278,0.7,8.1,0.874,0.1,9.42,6.53,303.84,330.9,2253.55,2978.42,281.26,311.7,1985.37,2789.49,-22.58,91.2,-268.19,1015.83,,,,,,,,
SLICE_BLOCK,11,25,36,0.306,0.545,2.09,0.866,0.081,9.42,7.68,303.84,330.9,2253.55,2978.42,244.35,294.58,1718.09,2586.27,-22.02,131.38,-181.22,1163.61,0.278,0.322,,,,,,
SLICE_BACKWARD,13,23,36,0.361,0.538,11.23,0.858,0.106,9.42,6.7,303.84,330.9,2253.55,2978.42,279.7,308.44,2019.44,2736.97,-24.13,185.04,-234.11,1689.13,,,0.444,0.36,,,,
SLICE_FORWARD,15,21,36,0.417,0.467,21.47,0.72,0.238,9.42,3.17,303.84,330.9,2253.55,2978.42,304.17,345.78,2269.33,3098.35,0.34,28.16,15.77,257.45,,,,,0.069,0.25,,
SLICE_UNION,15,21,36,0.417,0.6,21.93,0.707,0.263,9.42,3.85,303.84,330.9,2253.55,2978.42,314.95,341.12,2369.18,3047.18,11.11,44.37,115.63,317.74,,,,,,,0.514,0.366
BASELINE,25,11,36,0.694,0.4,13.92,0.821,0.145,9.42,3.78,303.84,330.9,2253.55,2978.42,322.81,355.05,2409.05,3180.9,15.59,42.22,137.1,337.63,0.278,0.235,0.444,0.307,0.069,0.077,0.514,0.384
