Defect,Level,Run,Passed,Baseline_Volume,Baseline_Effort,Fix_Volume,Fix_Effort,Delta_Volume,Delta_Effort
defect1_py,NO_EXPLANATION,1,0,185.46604019833754,1609.5802774355723,185.46604019833754,1609.5802774355723,0.0,0.0
defect2_py,NO_EXPLANATION,1,1,85.83671966625714,327.74020236207275,85.83671966625714,327.74020236207275,0.0,0.0
defect3_py,NO_EXPLANATION,1,0,66.60791492653966,177.62110647077242,66.60791492653966,177.62110647077242,0.0,0.0
defect4_py,NO_EXPLANATION,1,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,1,1,82.0447025077789,287.15645877722613,25.26619429851844,56.848937171666485,-56.77850820926045,-230.30752160555966
defect6_py,NO_EXPLANATION,1,0,313.9937575983544,2322.471069132656,313.9937575983544,2322.471069132656,0.0,0.0
defect7_py,NO_EXPLANATION,1,1,15.509775004326936,15.509775004326936,15.509775004326936,15.509775004326936,0.0,0.0
defect8_py,NO_EXPLANATION,1,0,318.01554705058794,1709.3335653969102,316.09556827246695,1455.955344770151,-1.919978778120992,-253.37822062675923
defect9_py,NO_EXPLANATION,1,1,753.1372703609895,6532.017479477044,840.0698720925469,7295.343626066855,86.93260173155738,763.3261465898113
defect10_py,NO_EXPLANATION,1,0,1128.4933005134633,10019.408375273106,,,,
defect11_py,NO_EXPLANATION,1,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,1,0,192.29419688230416,999.9298237879817,223.46712577586834,1276.9550044335333,31.172928893564176,277.0251806455516
defect1_py,NO_EXPLANATION,2,0,185.46604019833754,1609.5802774355723,185.46604019833754,1609.5802774355723,0.0,0.0
defect2_py,NO_EXPLANATION,2,1,85.83671966625714,327.74020236207275,85.83671966625714,327.74020236207275,0.0,0.0
defect3_py,NO_EXPLANATION,2,0,66.60791492653966,177.62110647077242,66.60791492653966,177.62110647077242,0.0,0.0
defect4_py,NO_EXPLANATION,2,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,2,1,82.0447025077789,287.15645877722613,48.43204266092217,124.53953827094274,-33.61265984685672,-162.6169205062834
defect6_py,NO_EXPLANATION,2,0,313.9937575983544,2322.471069132656,313.9937575983544,2322.471069132656,0.0,0.0
defect7_py,NO_EXPLANATION,2,1,15.509775004326936,15.509775004326936,15.509775004326936,15.509775004326936,0.0,0.0
defect8_py,NO_EXPLANATION,2,0,318.01554705058794,1709.3335653969102,235.0,1175.0,-83.01554705058794,-534.3335653969102
defect9_py,NO_EXPLANATION,2,1,753.1372703609895,6532.017479477044,818.9220407117992,7077.826209009121,65.78477035080971,545.8087295320775
defect10_py,NO_EXPLANATION,2,1,1128.4933005134633,10019.408375273106,1160.2571765051405,10281.167758476106,31.763875991677196,261.75938320299974
defect11_py,NO_EXPLANATION,2,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,2,1,192.29419688230416,999.9298237879817,210.99629561116632,1265.977773666998,18.702098728862154,266.0479498790163
defect1_py,NO_EXPLANATION,3,0,185.46604019833754,1609.5802774355723,185.46604019833754,1609.5802774355723,0.0,0.0
defect2_py,NO_EXPLANATION,3,1,85.83671966625714,327.74020236207275,85.83671966625714,327.74020236207275,0.0,0.0
defect3_py,NO_EXPLANATION,3,0,66.60791492653966,177.62110647077242,0.0,0.0,-66.60791492653966,-177.62110647077242
defect4_py,NO_EXPLANATION,3,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,3,1,82.0447025077789,287.15645877722613,48.43204266092217,124.53953827094274,-33.61265984685672,-162.6169205062834
defect6_py,NO_EXPLANATION,3,0,313.9937575983544,2322.471069132656,313.9937575983544,2322.471069132656,0.0,0.0
defect7_py,NO_EXPLANATION,3,1,15.509775004326936,15.509775004326936,15.509775004326936,15.509775004326936,0.0,0.0
defect8_py,NO_EXPLANATION,3,0,318.01554705058794,1709.3335653969102,353.5984323047935,1104.9951009524798,35.582885254205564,-604.3384644444304
defect9_py,NO_EXPLANATION,3,1,753.1372703609895,6532.017479477044,818.9220407117992,7077.826209009121,65.78477035080971,545.8087295320775
defect10_py,NO_EXPLANATION,3,1,1128.4933005134633,10019.408375273106,1160.2571765051405,10281.167758476106,31.763875991677196,261.75938320299974
defect11_py,NO_EXPLANATION,3,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,3,0,192.29419688230416,999.9298237879817,192.29419688230416,999.9298237879817,0.0,0.0
