Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE,15,21,36,0.417,0.6,11.13,0.768,0.187,9.42,3.28,303.84,330.9,2253.55,2978.42,312.42,332.59,2294.44,2982.45,8.59,28.91,40.89,267.44,,,,,,,,
ERROR,19,17,36,0.528,0.421,17.58,0.689,0.263,9.42,5.14,303.84,330.9,2253.55,2978.42,316.74,364.92,2497.19,3507.92,12.9,66.6,243.64,909.11,,,,,,,,
TEST,20,16,36,0.556,0.3,17.35,0.726,0.226,9.42,5.21,303.84,330.9,2253.55,2978.42,304.84,322.86,2254.36,2931.95,1.01,73.27,0.81,685.28,,,,,,,,
DOCSTRING,12,24,36,0.333,0.583,4.0,0.848,0.12,9.42,6.31,303.84,330.9,2253.55,2978.42,288.31,340.31,2106.94,3225.63,-15.53,40.41,-146.62,526.27,,,,,,,,
SLICE_BLOCK,11,25,36,0.306,0.727,1.45,0.918,0.048,9.42,8.54,303.84,330.9,2253.55,2978.42,289.53,327.01,2233.9,3166.35,-14.31,191.75,-19.65,1845.72,0.278,0.275,,,,,,
SLICE_BACKWARD,14,22,36,0.389,0.643,11.0,0.89,0.092,9.42,3.6,303.84,330.9,2253.55,2978.42,318.68,341.83,2403.24,3263.33,14.84,42.28,149.69,687.99,,,0.444,0.263,,,,
SLICE_FORWARD,14,22,36,0.389,0.643,20.14,0.698,0.264,9.42,8.8,303.84,330.9,2253.55,2978.42,288.23,306.4,2136.24,2878.85,-15.61,221.03,-117.32,2214.48,,,,,0.069,0.075,,
SLICE_UNION,12,24,36,0.333,0.833,0.92,0.972,0.016,9.42,12.78,303.84,330.9,2253.55,2978.42,214.59,225.52,1408.06,1930.29,-92.63,314.02,-863.89,2845.5,,,,,,,0.514,0.288
BASELINE,27,9,36,0.75,0.407,16.26,0.738,0.217,9.42,3.33,303.84,330.9,2253.55,2978.42,332.06,349.66,2500.9,3131.79,21.45,37.88,188.03,316.35,0.278,0.142,0.444,0.316,0.069,0.01,0.514,0.326
