Defect,Level,Run,Passed,Baseline_Volume,Baseline_Effort,Fix_Volume,Fix_Effort,Delta_Volume,Delta_Effort
defect1_py,NO_EXPLANATION,1,0,185.46604019833754,1609.5802774355723,201.7383500317309,1755.1236452760588,16.272309833393365,145.54336784048655
defect2_py,NO_EXPLANATION,1,0,85.83671966625714,327.74020236207275,82.0447025077789,382.8752783696349,-3.792017158478245,55.135076007562134
defect3_py,NO_EXPLANATION,1,0,66.60791492653966,177.62110647077242,91.37651812938249,406.1178583528111,24.768603202842826,228.49675188203867
defect4_py,NO_EXPLANATION,1,1,504.6426221872951,3041.8735837400845,356.72482509951953,1980.4378221042293,-147.91779708777557,-1061.4357616358552
defect5_py,NO_EXPLANATION,1,1,82.0447025077789,287.15645877722613,133.437600046154,538.8826155710065,51.392897538375095,251.72615679378032
defect6_py,NO_EXPLANATION,1,0,313.9937575983544,2322.471069132656,252.21970596792266,1331.7200475106317,-61.77405163043176,-990.7510216220242
defect7_py,NO_EXPLANATION,1,0,15.509775004326936,15.509775004326936,25.26619429851844,30.319433158222125,9.756419294191502,14.809658153895189
defect8_py,NO_EXPLANATION,1,0,318.01554705058794,1709.3335653969102,,,,
defect9_py,NO_EXPLANATION,1,1,753.1372703609895,6532.017479477044,937.1891270165379,9476.023395389439,184.05185665554836,2944.005915912395
defect10_py,NO_EXPLANATION,1,1,1128.4933005134633,10019.408375273106,1128.4933005134633,10019.408375273106,0.0,0.0
defect11_py,NO_EXPLANATION,1,0,0.0,0.0,12.0,8.0,12.0,8.0
defect12_py,NO_EXPLANATION,1,1,192.29419688230416,999.9298237879817,252.6150117466338,1635.9829332162951,60.320814864329634,636.0531094283134
defect1_py,NO_EXPLANATION,2,0,185.46604019833754,1609.5802774355723,183.39850002884629,1192.090250187501,-2.0675401694912523,-417.4900272480713
defect2_py,NO_EXPLANATION,2,1,85.83671966625714,327.74020236207275,68.53238859703687,228.44129532345625,-17.304331069220268,-99.2989070386165
defect3_py,NO_EXPLANATION,2,0,66.60791492653966,177.62110647077242,152.92539048396907,1070.4777333877835,86.3174755574294,892.856626917011
defect4_py,NO_EXPLANATION,2,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,2,1,82.0447025077789,287.15645877722613,48.43204266092217,124.53953827094274,-33.61265984685672,-162.6169205062834
defect6_py,NO_EXPLANATION,2,0,313.9937575983544,2322.471069132656,279.17595007788486,1932.75657746228,-34.81780752046956,-389.714491670376
defect7_py,NO_EXPLANATION,2,0,15.509775004326936,15.509775004326936,25.26619429851844,30.319433158222125,9.756419294191502,14.809658153895189
defect8_py,NO_EXPLANATION,2,0,318.01554705058794,1709.3335653969102,282.3891896920519,1768.0018832893686,-35.62635735853604,58.66831789245839
defect9_py,NO_EXPLANATION,2,1,753.1372703609895,6532.017479477044,861.301948405722,7514.116998160263,108.16467804473245,982.0995186832197
defect10_py,NO_EXPLANATION,2,0,1128.4933005134633,10019.408375273106,1153.8821370737935,10136.53405137742,25.38883656033022,117.12567610431506
defect11_py,NO_EXPLANATION,2,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,2,1,192.29419688230416,999.9298237879817,223.46712577586834,1508.4030989871112,31.172928893564176,508.4732751991295
defect1_py,NO_EXPLANATION,3,0,185.46604019833754,1609.5802774355723,199.68581616031315,1315.577141762063,14.219775961975614,-294.0031356735092
defect2_py,NO_EXPLANATION,3,0,85.83671966625714,327.74020236207275,82.0447025077789,382.8752783696349,-3.792017158478245,55.135076007562134
defect3_py,NO_EXPLANATION,3,0,66.60791492653966,177.62110647077242,132.0,660.0,65.39208507346034,482.3788935292276
defect4_py,NO_EXPLANATION,3,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,3,0,82.0447025077789,287.15645877722613,160.5395382709427,899.0214143172791,78.4948357631638,611.864955540053
defect6_py,NO_EXPLANATION,3,0,313.9937575983544,2322.471069132656,361.28526732617695,3179.3103524703574,47.29150972782253,856.8392833377015
defect7_py,NO_EXPLANATION,3,0,15.509775004326936,15.509775004326936,25.26619429851844,30.319433158222125,9.756419294191502,14.809658153895189
defect8_py,NO_EXPLANATION,3,0,318.01554705058794,1709.3335653969102,233.1830877661235,1421.306439717324,-84.83245928446445,-288.0271256795861
defect9_py,NO_EXPLANATION,3,1,753.1372703609895,6532.017479477044,906.9789752120199,8706.99816203539,153.84170485103039,2174.9806825583464
defect10_py,NO_EXPLANATION,3,1,1128.4933005134633,10019.408375273106,1150.7169128358732,10251.104892516758,22.223612322409963,231.69651724365212
defect11_py,NO_EXPLANATION,3,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,3,1,192.29419688230416,999.9298237879817,252.6150117466338,1635.9829332162951,60.320814864329634,636.0531094283134
