Model,N,N_Passed,Minimal_Rate_Passed,Avg_Line_Deviation,Avg_Levenshtein,Avg_Jaccard
gpt_5_mini,36,11,0.2727272727272727,28.818181818181817,0.40306836363636367,0.48610732738347173
deepseek_v3_2,36,18,0.4444444444444444,16.38888888888889,0.24223938888888888,0.7107997608428024
grok_4_1_fast,36,15,0.4666666666666667,7.8,0.12768780000000002,0.8470454213229698
