Defect,Level,Run,Passed,Baseline_Volume,Baseline_Effort,Fix_Volume,Fix_Effort,Delta_Volume,Delta_Effort
defect1_py,NO_EXPLANATION,1,0,185.46604019833754,1609.5802774355723,156.0801066523054,1025.6692722865782,-29.385933546032135,-583.911005148994
defect2_py,NO_EXPLANATION,1,1,85.83671966625714,327.74020236207275,39.863137138648355,68.33680652339717,-45.973582527608784,-259.4033958386756
defect3_py,NO_EXPLANATION,1,1,66.60791492653966,177.62110647077242,64.52932501298082,193.58797503894246,-2.0785899135588437,15.966868568170042
defect4_py,NO_EXPLANATION,1,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,1,1,82.0447025077789,287.15645877722613,93.76537429460444,375.06149717841777,11.720671786825548,87.90503840119163
defect6_py,NO_EXPLANATION,1,0,313.9937575983544,2322.471069132656,152.156400069231,672.6914529376529,-161.8373575291234,-1649.779616195003
defect7_py,NO_EXPLANATION,1,1,15.509775004326936,15.509775004326936,15.509775004326936,15.509775004326936,0.0,0.0
defect8_py,NO_EXPLANATION,1,0,318.01554705058794,1709.3335653969102,318.01554705058794,1709.3335653969102,0.0,0.0
defect9_py,NO_EXPLANATION,1,1,753.1372703609895,6532.017479477044,559.9574413598152,5211.422096291916,-193.1798290011743,-1320.5953831851275
defect10_py,NO_EXPLANATION,1,0,1128.4933005134633,10019.408375273106,1497.4673677437393,14463.343356744408,368.974067230276,4443.934981471302
defect11_py,NO_EXPLANATION,1,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,1,0,192.29419688230416,999.9298237879817,169.6436125266828,838.2390266024327,-22.650584355621362,-161.69079718554906
defect1_py,NO_EXPLANATION,2,0,185.46604019833754,1609.5802774355723,156.0801066523054,1025.6692722865782,-29.385933546032135,-583.911005148994
defect2_py,NO_EXPLANATION,2,1,85.83671966625714,327.74020236207275,39.863137138648355,68.33680652339717,-45.973582527608784,-259.4033958386756
defect3_py,NO_EXPLANATION,2,0,66.60791492653966,177.62110647077242,66.60791492653966,177.62110647077242,0.0,0.0
defect4_py,NO_EXPLANATION,2,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,2,1,82.0447025077789,287.15645877722613,93.76537429460444,375.06149717841777,11.720671786825548,87.90503840119163
defect6_py,NO_EXPLANATION,2,0,313.9937575983544,2322.471069132656,190.0,929.3478260869565,-123.99375759835442,-1393.1232430456994
defect7_py,NO_EXPLANATION,2,1,15.509775004326936,15.509775004326936,15.509775004326936,15.509775004326936,0.0,0.0
defect8_py,NO_EXPLANATION,2,0,318.01554705058794,1709.3335653969102,333.4050154002528,2023.4235417394652,15.389468349664867,314.089976342555
defect9_py,NO_EXPLANATION,2,1,753.1372703609895,6532.017479477044,802.9360752197907,7874.408176278298,49.79880485880119,1342.3906968012543
defect10_py,NO_EXPLANATION,2,0,1128.4933005134633,10019.408375273106,1314.5745173201367,11568.255752417204,186.0812168066734,1548.8473771440986
defect11_py,NO_EXPLANATION,2,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,2,0,192.29419688230416,999.9298237879817,159.81495041679716,781.3175353710084,-32.479246465507,-218.61228841697334
defect1_py,NO_EXPLANATION,3,0,185.46604019833754,1609.5802774355723,138.3016990363956,781.9365291673137,-47.164341161941934,-827.6437482682586
defect2_py,NO_EXPLANATION,3,1,85.83671966625714,327.74020236207275,39.863137138648355,68.33680652339717,-45.973582527608784,-259.4033958386756
defect3_py,NO_EXPLANATION,3,0,66.60791492653966,177.62110647077242,66.60791492653966,177.62110647077242,0.0,0.0
defect4_py,NO_EXPLANATION,3,1,504.6426221872951,3041.8735837400845,504.6426221872951,3041.8735837400845,0.0,0.0
defect5_py,NO_EXPLANATION,3,1,82.0447025077789,287.15645877722613,93.76537429460444,375.06149717841777,11.720671786825548,87.90503840119163
defect6_py,NO_EXPLANATION,3,0,313.9937575983544,2322.471069132656,190.0,929.3478260869565,-123.99375759835442,-1393.1232430456994
defect7_py,NO_EXPLANATION,3,1,15.509775004326936,15.509775004326936,15.509775004326936,15.509775004326936,0.0,0.0
defect8_py,NO_EXPLANATION,3,0,318.01554705058794,1709.3335653969102,310.3352333162707,1689.6029369441405,-7.680313734317224,-19.73062845276968
defect9_py,NO_EXPLANATION,3,0,753.1372703609895,6532.017479477044,732.0,6076.981132075472,-21.137270360989532,-455.03634740157213
defect10_py,NO_EXPLANATION,3,0,1128.4933005134633,10019.408375273106,922.3871929735037,6572.008749936214,-206.10610753995957,-3447.3996253368914
defect11_py,NO_EXPLANATION,3,0,0.0,0.0,0.0,0.0,0.0,0.0
defect12_py,NO_EXPLANATION,3,0,192.29419688230416,999.9298237879817,173.91626957122043,927.5534377131755,-18.377927311083738,-72.37638607480619
