Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
ERROR_SLICE_BLOCK_SLICE_BACKWARD,21,15,36,0.583,0.476,11.05,0.817,0.134,9.42,6.39,303.84,330.9,2253.55,2978.42,287.69,320.79,2182.89,3127.47,7.42,38.37,151.22,720.32,0.278,0.156,0.444,0.198,,,,
ERROR_SLICE_BLOCK_SLICE_FORWARD,18,18,36,0.5,0.389,17.94,0.799,0.162,9.42,3.94,303.84,330.9,2253.55,2978.42,323.18,347.4,2452.32,3263.77,12.57,36.56,139.46,532.14,0.278,0.17,,,0.069,0.08,,
ERROR_SLICE_BLOCK_SLICE_UNION,19,17,36,0.528,0.421,12.89,0.825,0.131,9.42,3.89,303.84,330.9,2253.55,2978.42,327.06,339.69,2510.43,3250.69,23.22,51.21,256.88,620.84,0.278,0.205,,,,,0.514,0.356
ERROR_SLICE_BACKWARD_SLICE_FORWARD,17,19,36,0.472,0.529,9.35,0.817,0.142,9.42,10.54,303.84,330.9,2253.55,2978.42,264.52,290.38,1941.74,2687.54,-42.51,271.96,-347.63,2501.16,,,0.444,0.277,0.069,0.11,,
ERROR_SLICE_BACKWARD_SLICE_UNION,19,17,36,0.528,0.474,12.84,0.823,0.137,9.42,3.25,303.84,330.9,2253.55,2978.42,325.84,349.27,2542.88,3383.29,22.0,46.26,289.33,637.92,,,0.444,0.312,,,0.514,0.406
ERROR_SLICE_FORWARD_SLICE_UNION,15,21,36,0.417,0.467,20.13,0.735,0.222,9.42,4.46,303.84,330.9,2253.55,2978.42,327.09,335.43,2436.39,3105.09,23.25,56.41,182.83,514.14,,,,,0.069,0.12,0.514,0.432
TEST_DOCSTRING_SLICE_BLOCK,22,14,36,0.611,0.364,18.18,0.707,0.216,9.42,3.69,303.84,330.9,2253.55,2978.42,323.41,344.08,2424.09,3115.74,11.33,39.32,106.59,321.1,0.278,0.193,,,,,,
TEST_DOCSTRING_SLICE_BACKWARD,20,16,36,0.556,0.35,21.5,0.72,0.224,9.42,3.76,303.84,330.9,2253.55,2978.42,320.21,361.92,2445.37,3351.1,16.38,47.79,191.81,662.22,,,0.444,0.299,,,,
TEST_DOCSTRING_SLICE_FORWARD,20,16,36,0.556,0.4,14.05,0.76,0.185,9.42,3.56,303.84,330.9,2253.55,2978.42,323.82,339.91,2448.61,3125.62,19.98,55.87,195.05,520.09,,,,,0.069,0.186,,
TEST_DOCSTRING_SLICE_UNION,22,14,36,0.611,0.318,19.27,0.708,0.236,9.42,3.37,303.84,330.9,2253.55,2978.42,311.72,342.3,2306.55,3048.42,7.89,33.48,52.99,303.08,,,,,,,0.514,0.371
TEST_SLICE_BLOCK_SLICE_BACKWARD,21,15,36,0.583,0.238,18.62,0.769,0.18,9.42,5.34,303.84,330.9,2253.55,2978.42,327.39,359.61,2530.65,3354.36,23.55,83.06,277.1,961.61,0.278,0.195,0.444,0.279,,,,
TEST_SLICE_BLOCK_SLICE_FORWARD,22,14,36,0.611,0.364,16.68,0.783,0.187,9.42,3.19,303.84,330.9,2253.55,2978.42,321.2,346.02,2426.99,3189.47,17.36,48.28,173.43,615.23,0.278,0.183,,,0.069,0.073,,
TEST_SLICE_BLOCK_SLICE_UNION,25,11,36,0.694,0.32,18.6,0.701,0.237,9.42,3.65,303.84,330.9,2253.55,2978.42,311.94,343.59,2372.54,3141.44,8.11,39.0,118.99,451.68,0.278,0.277,,,,,0.514,0.414
TEST_SLICE_BACKWARD_SLICE_FORWARD,16,20,36,0.444,0.5,16.31,0.719,0.225,9.42,3.0,303.84,330.9,2253.55,2978.42,314.94,340.85,2364.63,3103.06,11.1,35.98,111.08,382.49,,,0.444,0.265,0.069,0.168,,
TEST_SLICE_BACKWARD_SLICE_UNION,24,12,36,0.667,0.417,14.79,0.791,0.164,9.42,3.47,303.84,330.9,2253.55,2978.42,319.88,348.27,2481.94,3315.05,16.04,51.04,228.38,634.69,,,0.444,0.365,,,0.514,0.42
TEST_SLICE_FORWARD_SLICE_UNION,16,20,36,0.444,0.5,20.25,0.722,0.225,9.42,2.74,303.84,330.9,2253.55,2978.42,319.43,340.16,2410.96,3152.39,15.59,35.78,157.41,409.75,,,,,0.069,0.142,0.514,0.392
DOCSTRING_SLICE_BLOCK_SLICE_BACKWARD,10,26,36,0.278,0.8,0.4,0.943,0.033,9.42,2.56,303.84,330.9,2253.55,2978.42,307.37,339.19,2260.31,3066.51,3.53,38.2,6.76,340.63,0.278,0.26,0.444,0.302,,,,
DOCSTRING_SLICE_BLOCK_SLICE_FORWARD,16,20,36,0.444,0.5,12.81,0.732,0.195,9.42,4.34,303.84,330.9,2253.55,2978.42,291.53,331.42,2047.18,3019.79,-12.31,53.55,-206.37,853.67,0.278,0.194,,,0.069,0.132,,
DOCSTRING_SLICE_BLOCK_SLICE_UNION,14,22,36,0.389,0.643,11.71,0.84,0.107,9.42,4.09,303.84,330.9,2253.55,2978.42,279.79,288.03,1879.42,2439.19,-0.49,50.53,-152.25,740.69,0.278,0.164,,,,,0.514,0.338
DOCSTRING_SLICE_BACKWARD_SLICE_FORWARD,9,27,36,0.25,0.778,2.89,0.881,0.093,9.42,4.68,303.84,330.9,2253.55,2978.42,305.95,338.32,2190.86,3049.32,2.11,114.39,-62.69,1336.74,,,0.444,0.238,0.069,0.127,,
DOCSTRING_SLICE_BACKWARD_SLICE_UNION,13,23,36,0.361,0.692,7.85,0.887,0.087,9.42,2.7,303.84,330.9,2253.55,2978.42,307.39,345.87,2267.68,3112.49,3.55,43.47,14.13,370.34,,,0.444,0.319,,,0.514,0.363
DOCSTRING_SLICE_FORWARD_SLICE_UNION,10,26,36,0.278,0.7,4.3,0.892,0.077,9.42,7.09,303.84,330.9,2253.55,2978.42,273.44,272.71,1881.34,2342.5,-14.62,104.34,-209.63,1254.9,,,,,0.069,0.15,0.514,0.342
SLICE_BLOCK_SLICE_BACKWARD_SLICE_FORWARD,13,23,36,0.361,0.538,14.15,0.754,0.193,9.42,6.14,303.84,330.9,2253.55,2978.42,316.67,340.84,2369.75,3262.26,12.83,40.89,116.2,697.06,0.278,0.198,0.444,0.234,0.069,0.125,,
SLICE_BLOCK_SLICE_BACKWARD_SLICE_UNION,11,25,36,0.306,0.727,1.73,0.903,0.07,9.42,4.09,303.84,330.9,2253.55,2978.42,323.31,341.81,2422.95,3232.36,19.47,50.07,169.39,572.1,0.278,0.187,0.444,0.306,,,0.514,0.372
SLICE_BLOCK_SLICE_FORWARD_SLICE_UNION,11,25,36,0.306,0.455,7.91,0.835,0.107,9.42,5.0,303.84,330.9,2253.55,2978.42,303.42,337.8,2242.13,3089.08,-0.42,45.79,-11.43,448.46,0.278,0.202,,,0.069,0.072,0.514,0.258
SLICE_BACKWARD_SLICE_FORWARD_SLICE_UNION,14,22,36,0.389,0.5,5.14,0.815,0.125,9.42,2.82,303.84,330.9,2253.55,2978.42,303.9,328.91,2205.48,2973.92,0.06,26.44,-48.08,266.03,,,0.444,0.296,0.069,0.108,0.514,0.321
BASELINE,26,10,36,0.722,0.462,14.73,0.799,0.17,9.42,3.19,303.84,330.9,2253.55,2978.42,321.02,344.29,2422.19,3159.51,17.18,29.45,168.64,380.91,0.278,0.14,0.444,0.313,0.069,0.052,0.514,0.365
